timestamp,c,h,l,o
1279324800,0.049510000000000005,0.049510000000000005,0.049510000000000005,0.049510000000000005
1279411200,0.08584,0.08585,0.05941,0.05941
1279497600,0.0808,0.09307,0.07855,0.0909
1279584000,0.07473333333333332,0.08181000000000001,0.07426,0.08181000000000001
1279670400,0.07921,0.07921,0.06634,0.07425
1279756800,0.055945,0.0808,0.05446,0.07921
1279843200,0.062283333333333336,0.06767000000000001,0.0505,0.0505
1279929600,0.05454,0.06161000000000001,0.03399666666666667,0.06161000000000001
1280016000,0.0505,0.05941,0.0505,0.05545
1280102400,0.056,0.056,0.05,0.05
1280188800,0.059844444444444436,0.059844444444444436,0.053,0.053
1280275200,0.0589,0.061,0.054000000000000006,0.06
1280361600,0.06920000000000001,0.0699,0.0571,0.0597
1280448000,0.06428333333333333,0.0698,0.06,0.0698
1280534400,0.06785,0.06888999999999999,0.056,0.0609625
1280620800,0.0611,0.065,0.06,0.06055
1280707200,0.06,0.0633,0.06,0.0627
1280793600,0.06,0.065,0.059,0.06
1280880000,0.05795,0.0623,0.05795,0.06229
1280966400,0.061,0.061,0.058,0.0581
1281052800,0.0621,0.0624,0.0607,0.0622
1281139200,0.059,0.0622,0.059,0.0608
1281225600,0.0609,0.0609,0.059,0.059
1281312000,0.071,0.0735,0.05990333333333332,0.05990333333333332
1281398400,0.07,0.0709,0.06711,0.068
1281484800,0.067,0.07541,0.06,0.06
1281571200,0.07,0.07,0.06406999999999999,0.068
1281657600,0.0645,0.06795000000000001,0.0645,0.06583333333333334
1281744000,0.067,0.06905800000000001,0.065,0.0655
1281830400,0.06529,0.067,0.065,0.067
1281916800,0.0655,0.0679,0.062,0.06319
1282003200,0.07,0.0769,0.062429999999999986,0.0655
1282089600,0.068,0.0733,0.067,0.07219666666666667
1282176000,0.0667,0.0676,0.0667,0.0675
1282262400,0.0655,0.0667,0.065,0.0667
1282348800,0.0664,0.0665,0.0644,0.065
1282435200,0.066,0.066,0.0612,0.06494000000000001
1282521600,0.06491,0.06688999999999999,0.06409,0.06525
1282608000,0.065,0.0665,0.06491,0.06491
1282694400,0.0648,0.066445,0.0641,0.06498999999999999
1282780800,0.064,0.0658,0.064,0.0648
1282867200,0.065,0.065,0.063,0.064
1282953600,0.0646,0.065,0.0645,0.0648
1283040000,0.064,0.0647,0.064,0.0647
1283126400,0.06497,0.065,0.03211,0.0646
1283212800,0.06,0.06448999999999999,0.06,0.06411
1283299200,0.062300000000000015,0.062300000000000015,0.05961,0.062
1283385600,0.0631,0.0631,0.0601,0.061
1283472000,0.06085,0.063,0.06085,0.061
1283558400,0.06238,0.06238,0.0612,0.06125
1283644800,0.0616,0.06343333333333333,0.0608875,0.06245
1283731200,0.0616,0.0627,0.0616,0.0627
1283817600,0.061505,0.062,0.0603,0.0616
1283904000,0.061495,0.061495,0.061,0.061
1283990400,0.06111000000000001,0.0624,0.06109,0.0611
1284076800,0.0618,0.0618,0.06014,0.061
1284163200,0.06366000000000001,0.06436666666666667,0.0619,0.0619
1284249600,0.0615,0.0621,0.0615,0.061725999999999996
1284336000,0.062179999999999985,0.064,0.0608,0.06199
1284422400,0.06199,0.175,0.06101,0.062
1284508800,0.0604,0.0625,0.0604,0.0625
1284595200,0.0618,0.0618,0.0618,0.0618
1284681600,0.05938,0.0609,0.05938,0.06089
1284768000,0.061,0.061,0.058236666666666666,0.059
1284854400,0.0627,0.0627,0.06,0.06091
1284940800,0.0621,0.06334999999999999,0.062,0.06205
1285027200,0.06265,0.0633,0.0623,0.0631
1285113600,0.062038,0.06231,0.06149,0.06231
1285200000,0.06231,0.0629,0.0616,0.0621
1285286400,0.0622,0.06238000000000001,0.06209,0.06209
1285372800,0.06202000000000001,0.062360000000000006,0.06175,0.06221
1285459200,0.06219,0.06224777777777778,0.06186000000000001,0.06204
1285545600,0.0622,0.06227999999999999,0.061933333333333326,0.062
1285632000,0.061904999999999995,0.062354999999999994,0.06171,0.06196
1285718400,0.06183,0.062,0.06154,0.062
1285804800,0.0619,0.0619,0.06155,0.06174
1285891200,0.06197,0.062,0.06189,0.06189
1285977600,0.0614,0.06189,0.06129,0.06188
1286064000,0.06111000000000001,0.0614,0.06101,0.061398750000000016
1286150400,0.06129,0.06191,0.06084,0.06133250000000001
1286236800,0.0614,0.06292166666666668,0.06095,0.06132000000000001
1286323200,0.06297666666666668,0.06349066666666668,0.0615,0.0615
1286409600,0.067,0.067,0.06282,0.06304000000000001
1286496000,0.084925,0.08800000000000001,0.01,0.067
1286582400,0.0938,0.11,0.07002,0.0835
1286668800,0.0965,0.1301,0.08299999999999999,0.093
1286755200,0.095,0.1015,0.091,0.091
1286841600,0.0949,0.09795,0.083005,0.094
1286928000,0.105,0.105,0.092,0.092
1287014400,0.102,0.1045,0.08270857142857144,0.1045
1287100800,0.105,0.11699999999999999,0.092,0.1
1287187200,0.101,0.10299,0.1,0.1
1287273600,0.102,0.1045,0.10001,0.102
1287360000,0.1024,0.103,0.1,0.103
1287446400,0.09715,0.1018,0.09715,0.1
1287532800,0.099,0.1025,0.094,0.0985
1287619200,0.107,0.107,0.0971,0.0972
1287705600,0.106,0.109,0.1015,0.1015
1287792000,0.104995,0.109,0.104995,0.1085
1287878400,0.11501,0.19,0.108,0.108
1287964800,0.132,0.18666666666666668,0.09009,0.09839666666666667
1288051200,0.1503,0.179,0.133,0.133
1288137600,0.1877,0.19,0.151,0.151
